Member,MaxAge,MinAge,MidAge,MidAge_Delta,PelomedusidMass,LogPelo_Delta,TestudinidMass,LogTestudinid_Delta,AquaticMass,LogAquatic_Delta,TrionychidMass,LogTrio_Delta,MecistopsMass,LogMecistopin_Delta,EuthecodonMass,LogEuthecodon_Delta,CrocodylusMass,LogCrocodylus_Delta,PythonMass,LogPython,LogPython_Delta,ReptileSampling,TurtleSampling,CrocSampling,SquamateSampling,OverallHerbivoreDeltaC13,HerbDC13_Delta,OverallHerbivoreDeltaO18,HerbDO18_Delta,AAHbovidPercent,AAHPerc_Delta,RedunciniPercent,RedunciniPerc_Delta,ProportionBovidae,ProportionSuidae,ProportionCercopithicidae,ProportionHominidae,ProportionGrasslandIndicator,GrasslandProp_Delta,LakeLevel,LakeLevel_Delta,LevinDeltaC13,LevinDeltaC13_Delta,LevinDeltaO18,LevinDeltaO18_Delta,Hippos_protkaru,LogHippos_protkaru_Delta,Hippos_aethi,LogHippos_aethi_Delta,Hippopotamus,Aepycerotini,Alcelaphini,Antilopini,Bovini,Neotragini,Ovibovini,Reduncini,Tragelaphini,LogTragelaphini_Delta,Bovidae,LogBovidae_Delta,Cercopithecidae,Equidae,LogEquidae_Delta,Hominidae,PasseySoilTemp,PasseyMAT,HFprecip,Hfprecip_Delta,HeinzelinEnv,HeinzelinEnv_Delta,HeinzelinMaxLake,HeinzelinMax_Delta
A,3.596,3.438,-3.5171,,,,,,,,,,,,,,226.1,,,,,25,18,7,0,-3.64,,-0.215,,,,,,0.166666667,0.6,,0.233333333,,,9.045,,,,,,1415.902527,,,,,44.1,,,,,,,198.1,,198.1,,,,,,,,,,2,,2,
B,3.438,2.937,-3.1877,0.3294,3.54,,66.1,,27.7,,27.7,,,,1302.3,,714.9,0.499944735,5.59,0.747411808,,70,13,32,3,-2.98,0.66,-0.992,-0.777,4.5,,35.8,,0.288069414,0.303253796,0.018221258,0.377874187,0.009110629,,6.93,-2.115,-9.393638992,,-5.416666667,,1439.101526,0.007058077,,,,,,31.1,772.4,,,112.9,272,0.137684428,772.4,0.59095779,,373.7,,33.9,30.8,27.33708,936,,2.3125,0.3125,4,2
C,2.937,2.542,-2.7397,0.448,4.74,0.12677508,151.3,0.359637469,4.74,-0.766701427,,,545.8,,1660.6,0.105553993,339.6,-0.323277615,41.13,1.61415871,0.866746902,184,55,78,9,-1.76,1.22,-0.92,0.072,2.6,2.6,17.2,17.2,0.35804133,0.098382749,0.013926325,0.519766397,0.009883199,0.009883199,1.05,-5.88,-8.627288999,0.766349993,-5.066666667,0.35,1478.797835,0.011817372,,,,,,31.7,340.2,,283.8,26.6,289.2,0.026629385,340.2,-0.356107956,22.3,379.2,0.006345231,44.9,32.7,27.88827,982,46,2.3,-0.0125,3,-1
D,2.526,2.387,-2.4565,0.2832,3.42,-0.141752236,83.9,-0.256076967,3.42,-0.141752236,,,,,1328.6,-0.096870785,252.8,-0.128190612,38.6,1.586587305,-0.027571405,22,4,6,4,-1.58,0.18,-0.395,0.525,4,1.4,17.2,0,0.402777778,0.155864198,0.021604938,0.395061728,0.030864198,0.020980999,2.965,1.915,-7.49070632,1.136582679,-4.85,0.216666667,1516.01353,0.010794271,,,,,,,,,229.8,,313.7,0.03531623,313.7,-0.035219791,,388.1,0.010075314,16.8,35.65,28.744065,517,-465,2,-0.3,2,-1
E,2.387,2.328,-2.3573,0.0992,4.01,0.069118267,155.6,0.268247632,12.8,0.573183864,12.8,,,,1042.6,-0.105276528,937.7,0.569286846,8.9,,,699,110,572,7,-1.67,-0.09,0.371,0.766,3.5,2.1,19.5,19.5,0.50474547,0.184641933,0.014667817,0.284728214,0.023295945,0.002314946,5.14,2.175,-8.40251962,-0.9118133,-4.7,0.15,1658.945365,0.039129006,,,,57.9,,,,,,35.1,309.2,-0.006275033,309.2,-0.006275033,28.5,344,-0.0523852,40.2,,,516,-1,2,0,2,0
F,2.324,2.286,-2.3051,0.0522,3.85,-0.017683643,,,15,0.068881289,15,0.068881289,675.4,,1242.3,0.076108765,1090.4,0.065521927,81.6,1.911690159,,452,121,277,6,-2,-0.33,0.261,-0.11,8.8,6.7,20.2,0.7,0.506127451,0.134803922,0.022671569,0.315563725,0.063112745,0.060797799,6.413333333,1.273333333,-8.081371334,0.321148286,-3.6,1.1,2053.386444,0.092638607,,,2717.449315,,43.1,23.6,,11.1,,,807,0.416634049,807,0.416634049,29.7,350.3,0.007881695,26.6,,,606,90,2.2,0.2,3,1
GL,2.271,2.062,-2.1667,0.1384,4.35,0.053028527,76,,4.35,-0.537602002,,,396.8,-0.230989393,1701.6,0.136630992,636.5,-0.233787435,30.67,1.486713776,-0.424976383,160,16,88,5,-1.483,0.517,0.172,-0.089,3.5,-3.2,42.4,41.7,0.67083215,0.127236581,0.022720818,0.174382278,0.044021585,-0.016776214,7.125,0.711666667,-9.120198265,-1.038826931,-4.421428571,-0.821428571,1615.968774,-0.104037726,672.607122,,2449.145442,70.2,145.3,46.8,600.8,13.7,223.3,98,323.6,-0.396865022,600.8,-0.128143611,27.3,318.8,-0.040921825,43.2,33,27.9753,463,-143,2.615384615,0.415384615,6,3
GU,2.062,1.911,-1.9868,0.1799,1.91,-0.35745589,57.7,-0.119637779,20.9,0.681657029,20.9,,537.1,0.131483489,1817.6,0.028640837,755.9,0.074665937,52.99,1.72419392,0.237480144,66,13,32,3,-1.585,-0.102,-2.74,-2.912,27.8,31,36.7,-5,0.75862069,0.117241379,0.05862069,0.062068966,0.117241379,0.134017593,11.4,4.275,-6.789033457,2.331164808,,,2258.688996,0.145423472,,,1996.445264,,198.1,28.3,,,,,213.6,-0.180407265,213.6,-0.449128676,,304.1,-0.020501893,19.8,,,,,6.625,4.009615385,7,1
H,1.911,1.778,-1.8443,0.1425,,,119.7,0.316918337,,,,,,,1337.4,-0.133236995,,,,,,22,2,13,0,-0.504,1.081,-0.536,2.204,9.8,-21.2,81.7,86.7,0.8,0.132432432,0.02972973,0.035135135,0.075675676,-0.058341917,5.67,-5.73,-6.014928896,0.774104561,-3.616666667,,1555.523577,-0.161979838,774.8184078,,,,131.8,,,,,86.8,151,-0.150624301,151,-0.150624301,22.5,,,19.9,29.7,27.01797,,,6,-0.625,6,-1
J,1.76,1.556,-1.6582,0.1861,,,,,,,,,336.6,,1276.4,-0.020274523,792,,7.68,0.88536122,,13,1,9,1,-1.63,-1.126,0.0833,0.6193,14.8,36,72.2,-14.5,0.63125,0.28125,0.03125,0.05625,0.18125,0.239591917,5.354,-0.316,-6.174445822,-0.159516926,-2,1.616666667,2414.551158,0.190959813,632.154039,-0.088377013,3586.617439,,,,,,,,448.1,0.472397997,449.3,0.473559471,,,,,,,,,3.75,-2.25,6,0
